symbol,date,low,close,open,volume,high
BTC-EUR,2021-02-02 12:00:00,28828.494140625,28898.859375,28882.31640625,0,29042.701171875
BTC-EUR,2021-02-02 13:00:00,28888.947265625,28920.775390625,28899.328125,0,29176.220703125
BTC-EUR,2021-02-02 14:00:00,28715.3125,28942.154296875,28924.142578125,0,28953.736328125
BTC-EUR,2021-02-02 15:00:00,28815.44921875,28826.638671875,28950.078125,0,29172.125
BTC-EUR,2021-02-02 16:00:00,28796.533203125,29111.916015625,28833.265625,0,29159.91796875
BTC-EUR,2021-02-02 17:00:00,28948.162109375,28974.51953125,29098.828125,0,29098.828125
BTC-EUR,2021-02-02 18:00:00,28971.013671875,29329.56640625,28978.78125,483659776,29329.56640625
BTC-EUR,2021-02-02 19:00:00,29316.0859375,29699.453125,29338.78515625,1178775552,29699.453125
BTC-EUR,2021-02-02 20:00:00,29565.734375,29646.15234375,29703.85546875,1239445504,29852.052734375
BTC-EUR,2021-02-02 21:00:00,29567.185546875,29649.873046875,29659.6953125,616460288,29730.939453125
BTC-EUR,2021-02-02 22:00:00,29538.193359375,29623.978515625,29643.75390625,11776000,29684.93359375
BTC-EUR,2021-02-02 23:00:00,29495.052734375,29495.3515625,29616.162109375,0,29618.873046875
BTC-EUR,2021-02-03 00:00:00,29439.736328125,29992.630859375,29501.521484375,0,30021.0859375
BTC-EUR,2021-02-03 01:00:00,29762.087890625,29762.087890625,29988.892578125,957997056,30107.28515625
BTC-EUR,2021-02-03 02:00:00,29753.904296875,29797.205078125,29759.990234375,416960512,29917.884765625
BTC-EUR,2021-02-03 03:00:00,29786.671875,30273.640625,29800.783203125,625283072,30273.640625
BTC-EUR,2021-02-03 04:00:00,30259.298828125,30414.078125,30267.244140625,1189945344,30530.15625
BTC-EUR,2021-02-03 05:00:00,30247.322265625,30265.8671875,30396.708984375,0,30415.30078125
BTC-EUR,2021-02-03 06:00:00,30265.7578125,30413.296875,30265.7578125,0,30541.1953125
BTC-EUR,2021-02-03 07:00:00,30152.849609375,30152.849609375,30410.84375,0,30410.84375
BTC-EUR,2021-02-03 08:00:00,29767.876953125,29921.716796875,30156.69921875,0,30156.69921875
BTC-EUR,2021-02-03 09:00:00,29638.384765625,29889.59765625,29932.10546875,0,29965.66796875
BTC-EUR,2021-02-03 10:00:00,29700.21875,29899.240234375,29879.970703125,0,29912.791015625
BTC-EUR,2021-02-03 11:00:00,29895.443359375,29908.279296875,29895.443359375,0,30090.66015625
BTC-EUR,2021-02-03 12:00:00,29847.89453125,30109.4375,29911.341796875,554504192,30191.583984375
BTC-EUR,2021-02-03 13:00:00,30021.13671875,30397.28125,30102.634765625,754266112,30493.359375
BTC-EUR,2021-02-03 14:00:00,30268.13671875,30356.21484375,30392.86328125,1830912,30491.505859375
BTC-EUR,2021-02-03 15:00:00,30351.470703125,30677.76171875,30364.619140625,912719872,30677.76171875
BTC-EUR,2021-02-03 16:00:00,30508.845703125,30856.91015625,30681.1171875,0,30856.91015625
BTC-EUR,2021-02-03 17:00:00,30712.49609375,30822.00390625,30852.96484375,408010752,30853.0390625
BTC-EUR,2021-02-03 18:00:00,30574.1328125,30816.322265625,30824.181640625,627847168,30852.2109375
BTC-EUR,2021-02-03 19:00:00,30596.77734375,30596.77734375,30807.9765625,0,30814.953125
BTC-EUR,2021-02-03 20:00:00,30507.728515625,30728.994140625,30601.619140625,0,30728.994140625
BTC-EUR,2021-02-03 21:00:00,30715.421875,30881.57421875,30727.73046875,401715200,31006.984375
BTC-EUR,2021-02-03 22:00:00,30886.76171875,30935.85546875,30886.76171875,170639360,31070.529296875
BTC-EUR,2021-02-03 23:00:00,30918.869140625,31084.03515625,30930.265625,507838464,31129.732421875
BTC-EUR,2021-02-04 00:00:00,31119.447265625,31408.873046875,31119.447265625,701345792,31513.916015625
BTC-EUR,2021-02-04 01:00:00,31421.263671875,31644.978515625,31421.263671875,840249344,31691.642578125
BTC-EUR,2021-02-04 02:00:00,31231.609375,31360.841796875,31640.9296875,709365760,31640.9296875
BTC-EUR,2021-02-04 03:00:00,31135.32421875,31153.287109375,31366.8828125,376520704,31520.255859375
BTC-EUR,2021-02-04 04:00:00,31114.001953125,31340.966796875,31148.650390625,0,31368.611328125
BTC-EUR,2021-02-04 05:00:00,31242.177734375,31254.103515625,31341.5703125,275066880,31494.94140625
BTC-EUR,2021-02-04 06:00:00,31251.53125,31714.185546875,31251.53125,630927360,31714.185546875
BTC-EUR,2021-02-04 07:00:00,31501.435546875,31512.564453125,31714.349609375,293740544,31716.232421875
BTC-EUR,2021-02-04 08:00:00,31490.626953125,31490.626953125,31511.091796875,1607077888,32162.875
BTC-EUR,2021-02-04 09:00:00,30829.728515625,31121.267578125,31451.00390625,1944563712,31451.00390625
BTC-EUR,2021-02-04 10:00:00,31084.818359375,31370.845703125,31160.927734375,1172680704,31398.513671875
BTC-EUR,2021-02-04 11:00:00,31285.546875,31285.546875,31364.515625,632741888,31515.759765625
BTC-EUR,2021-02-04 12:00:00,31056.1640625,31377.453125,31250.357421875,434278400,31396.953125
BTC-EUR,2021-02-04 13:00:00,31096.84765625,31386.13671875,31359.78125,0,31386.13671875
BTC-EUR,2021-02-04 14:00:00,30717.333984375,30717.333984375,31384.388671875,121462784,31384.388671875
BTC-EUR,2021-02-04 15:00:00,30338.380859375,30544.03515625,30718.55859375,507117568,30753.462890625
BTC-EUR,2021-02-04 16:00:00,30470.150390625,30795.966796875,30542.701171875,0,30795.966796875
BTC-EUR,2021-02-04 17:00:00,30760.4765625,30777.671875,30794.41796875,260235264,30896.03125
BTC-EUR,2021-02-04 18:00:00,30778.015625,30983.80859375,30782.84375,274432,31161.439453125
BTC-EUR,2021-02-04 19:00:00,30948.048828125,31183.6796875,30975.310546875,662343680,31183.6796875
BTC-EUR,2021-02-04 20:00:00,31200.55078125,31243.30859375,31200.55078125,452198400,31467.822265625
BTC-EUR,2021-02-04 21:00:00,31212.30859375,31403.310546875,31250.275390625,100687872,31447.490234375
